,code,name,指标,count,url
0,300341,麦迪电气,5.12,2,https://xueqiu.com/S/SZ300341
1,000585,东北电气,3.56,2,https://xueqiu.com/S/SZ000585
2,002453,天马精化,3.24,2,https://xueqiu.com/S/SZ002453
3,603663,三祥新材,3.15,2,https://xueqiu.com/S/SH603663
4,300381,溢多利,3.14,3,https://xueqiu.com/S/SZ300381
5,002430,杭氧股份,2.78,3,https://xueqiu.com/S/SZ002430
6,002306,中科云网,2.63,3,https://xueqiu.com/S/SZ002306
7,000672,上峰水泥,2.63,3,https://xueqiu.com/S/SZ000672
8,000818,方大化工,2.62,3,https://xueqiu.com/S/SZ000818
9,601177,杭齿前进,2.6,4,https://xueqiu.com/S/SH601177
10,002451,摩恩电气,2.4,8,https://xueqiu.com/S/SZ002451
11,002089,新海宜,2.2,3,https://xueqiu.com/S/SZ002089
12,000510,金路集团,2.12,5,https://xueqiu.com/S/SZ000510
13,300323,华灿光电,2.07,5,https://xueqiu.com/S/SZ300323
14,601116,三江购物,2.03,5,https://xueqiu.com/S/SH601116
15,300435,中泰股份,1.93,2,https://xueqiu.com/S/SZ300435
16,000877,天山股份,1.86,7,https://xueqiu.com/S/SZ000877
17,002839,张家港行,1.83,7,https://xueqiu.com/S/SZ002839
18,002824,和胜股份,1.64,8,https://xueqiu.com/S/SZ002824
19,002397,梦洁股份,1.54,8,https://xueqiu.com/S/SZ002397
20,002651,利君股份,1.45,12,https://xueqiu.com/S/SZ002651
21,002534,杭锅股份,1.45,8,https://xueqiu.com/S/SZ002534
22,002825,纳尔股份,1.44,11,https://xueqiu.com/S/SZ002825
23,600679,上海凤凰,1.27,3,https://xueqiu.com/S/SH600679
24,002695,煌上煌,1.17,3,https://xueqiu.com/S/SZ002695
25,002729,好利来,1.09,2,https://xueqiu.com/S/SZ002729
