,code,name,指标,count,url
0,000572,海马汽车,10.05,1,https://xueqiu.com/S/SZ000572
1,300085,银之杰,10.02,1,https://xueqiu.com/S/SZ300085
2,600802,福建水泥,10.01,1,https://xueqiu.com/S/SH600802
3,000760,斯太尔,9.99,1,https://xueqiu.com/S/SZ000760
4,600827,百联股份,9.99,1,https://xueqiu.com/S/SH600827
5,601007,金陵饭店,7.87,2,https://xueqiu.com/S/SH601007
6,002445,中南文化,6.94,3,https://xueqiu.com/S/SZ002445
7,000850,华茂股份,6.42,2,https://xueqiu.com/S/SZ000850
8,002203,海亮股份,6.21,2,https://xueqiu.com/S/SZ002203
9,603322,超讯通信,5.91,3,https://xueqiu.com/S/SH603322
10,000759,中百集团,5.1,3,https://xueqiu.com/S/SZ000759
11,002819,东方中科,5.07,4,https://xueqiu.com/S/SZ002819
12,603090,宏盛股份,4.65,4,https://xueqiu.com/S/SH603090
13,300592,华凯创意,4.63,4,https://xueqiu.com/S/SZ300592
14,002279,久其软件,4.63,4,https://xueqiu.com/S/SZ002279
15,603839,安正时尚,4.43,6,https://xueqiu.com/S/SH603839
16,603838,四通股份,4.14,5,https://xueqiu.com/S/SH603838
17,002148,北纬通信,4.13,4,https://xueqiu.com/S/SZ002148
18,600833,第一医药,4.1,4,https://xueqiu.com/S/SH600833
19,603360,百傲化学,3.88,6,https://xueqiu.com/S/SH603360
20,002452,长高集团,3.5,4,https://xueqiu.com/S/SZ002452
21,300578,会畅通讯,3.47,7,https://xueqiu.com/S/SZ300578
22,603990,麦迪科技,3.4,5,https://xueqiu.com/S/SH603990
23,300543,朗科智能,3.1,6,https://xueqiu.com/S/SZ300543
24,300427,红相电力,2.94,10,https://xueqiu.com/S/SZ300427
25,300493,润欣科技,2.94,7,https://xueqiu.com/S/SZ300493
26,603579,荣泰健康,2.78,7,https://xueqiu.com/S/SH603579
27,002321,华英农业,2.77,9,https://xueqiu.com/S/SZ002321
28,300228,富瑞特装,2.77,8,https://xueqiu.com/S/SZ300228
29,300175,朗源股份,2.57,11,https://xueqiu.com/S/SZ300175
30,600984,建设机械,2.57,8,https://xueqiu.com/S/SH600984
31,300466,赛摩电气,2.4,11,https://xueqiu.com/S/SZ300466
32,300562,乐心医疗,2.39,11,https://xueqiu.com/S/SZ300562
33,603799,华友钴业,2.34,10,https://xueqiu.com/S/SH603799
