,code,outstanding,liquid_assets,totals,totalAssets,growth
0,601058,22.61,95.64030000000001,22.94,5357347.3674,6.15
1,002340,23.34,179.25119999999998,29.35,13937613.1584,-6.9
2,600496,15.1,63.571,15.1,4173280.38,10.69
3,002421,14.05,292.802,19.27,9394298.7556,-69.24
4,600297,18.4,169.648,55.0,100387378.44000001,5.86
5,600189,3.11,26.3417,3.11,3520242.3641000004,36.95
6,000826,8.47,266.2121,8.54,65842887.7225,9.32
7,000534,4.91,61.375,4.92,3221759.0,19.6
8,300252,2.66,83.07180000000001,4.44,8265056.6637,-13.45
9,600459,2.61,73.2105,2.61,9647436.4965,-13.33
10,000573,6.22,62.44879999999999,6.23,3367525.2351999995,-8.17
11,002631,2.88,55.728,6.5,3335569.641,-4.5
12,300061,1.45,39.382,5.25,2451359.4784000004,-25.0
13,002644,5.11,59.991400000000006,5.11,2046975.3644,-4.6
14,002242,7.65,157.6665,7.68,10077213.1275,-12.37
15,601607,19.23,376.7157,26.89,158465733.465,10.67
16,600516,17.19,194.247,17.19,9373941.103000002,-18.67
17,000603,3.87,80.9991,7.23,5889514.8858,-23.79
18,002332,4.68,59.5764,6.11,4479144.829299999,3.46
19,300224,4.85,102.91699999999999,5.06,6285702.883399999,-14.7
20,002323,2.61,35.6265,7.46,2449448.4104999998,59.49
21,603600,0.42,21.5124,1.0,4528462.64,-7.73
22,300122,8.63,145.5018,16.0,4435786.4208,3.38
23,002730,1.03,18.9108,3.23,2438436.0312,-4.25
24,600056,10.12,174.46879999999996,10.68,33751771.71119999,23.55
25,300238,1.89,83.2545,2.66,7566246.0475,-31.94
26,300071,4.29,44.4015,6.83,3566069.2125,-10.53
27,000960,12.09,157.2909,14.72,35705723.83,12.53
28,603939,1.56,54.4284,3.63,14327019.213299999,-18.26
29,600337,6.45,88.55850000000001,6.45,7117577.9038,-0.8
30,600385,1.43,28.070899999999998,1.48,342956.31889999995,5.15
31,002773,0.68,34.244800000000005,6.75,18269668.2824,-7.76
32,002169,2.51,55.32039999999999,3.94,9039698.506399998,-11.25
33,002737,1.2,48.0,2.92,15246127.6,-17.58
34,002057,1.99,29.6311,1.99,952972.6565,6.72
35,002589,3.0,97.26,6.54,49634789.1696,2.99
36,002582,0.98,37.24,2.58,16352589.78,-21.42
37,002363,3.86,49.1764,3.86,3225381.4684,-1.26
38,000576,4.34,67.35679999999999,4.43,2103131.496,-4.38
39,300409,1.11,58.2417,2.15,9576086.6718,-35.96
40,000839,39.19,461.65819999999997,39.2,15393032.02,-16.98
41,300370,3.12,30.264,5.99,2229760.8249999997,-13.3
42,002728,0.57,14.757299999999999,2.0,4155514.8384000002,-3.9
43,600433,11.9,109.361,12.71,3679881.6722,-13.49
44,600277,20.9,151.94299999999998,27.39,16506024.282499999,2.75
45,002378,9.23,108.17560000000002,9.24,3848695.9916000008,-9.98
46,002098,3.1,37.571999999999996,3.58,1807966.2156,25.58
47,002750,2.25,38.025,4.0,1213429.633,-8.4
48,603701,0.2,13.652000000000001,0.78,4877093.040200001,-23.23
49,600423,3.99,27.4512,3.99,2897436.7328,12.35
50,600503,15.63,166.3032,16.02,6822068.8032,-22.74
51,603029,0.23,12.8156,0.93,5076406.818,-22.47
52,000739,10.6,84.8,11.47,4374059.04,3.0
53,300366,1.01,30.9464,2.63,5470377.6632,14.23
54,002303,10.21,142.7358,15.42,4697796.0018,-32.83
55,300125,0.9,22.392,1.18,4752532.5671999995,9.16
56,000893,4.01,48.3606,7.57,6390497.5200000005,13.68
57,600062,5.72,119.6624,7.24,16904189.059600003,10.66
58,603993,129.54,529.8186,168.87,18318903.455,22.25
59,600850,4.2,116.34,4.2,13682953.488,-10.87
60,600845,4.98,125.34660000000002,7.83,16697494.8375,-22.69
61,002574,5.28,64.0464,5.28,5879042.126700001,-9.07
62,002617,5.6,116.92799999999998,7.35,6891274.4544,-25.0
63,000801,10.23,117.1335,10.23,5693148.962499999,6.72
64,600749,1.89,35.9856,1.89,2624051.1023999997,13.18
65,601558,56.62,159.6684,60.31,3217081.0415999996,-20.21
66,600129,4.27,92.87249999999999,4.27,21241782.7575,-16.78
67,002485,3.2,60.96000000000001,3.2,4665534.5475,3.31
68,600661,1.81,54.2819,2.59,6097352.071599999,-9.54
69,300222,2.8,64.232,7.28,10774631.25,-9.59
70,300382,0.64,23.68,1.25,4530559.350000001,14.78
71,600089,32.0,290.56,32.38,69925638.42,15.97
72,000068,8.97,85.03560000000002,10.07,778179.6408,-16.14
73,600572,20.58,143.44259999999997,25.11,7138085.9410999995,-0.14
74,600401,47.25,113.8725,47.25,4176470.3525,-2.07
75,600110,11.5,72.565,11.5,3416769.971399999,73.06
76,002409,1.65,42.7515,3.44,3942698.0127,-12.5
77,603309,0.77,21.9989,2.0,2616213.7542,-13.9
78,002217,4.67,66.26729999999999,15.64,17475040.057199996,26.85
79,600475,2.56,40.448,2.56,7917031.4520000005,25.95
80,300250,1.13,33.2559,2.3,5174002.6587,-13.05
81,600566,7.81,224.147,8.1,13153284.333,9.09
82,603519,0.77,18.7418,1.6,2018527.6398,24.32
83,601567,10.15,142.709,14.19,15519145.112799998,-17.0
84,002771,0.36,30.887999999999998,0.81,7676640.971999999,-25.1
85,300340,0.82,50.019999999999996,1.18,5963821.16,-23.15
86,002118,10.25,169.32999999999998,12.81,10553532.558799999,-57.69
87,300206,3.4,36.68599999999999,5.85,1523291.0901,-17.7
88,300151,2.84,37.1472,5.03,1289577.2124,-18.58
89,300520,0.23,30.357700000000005,0.96,10008108.752500001,-49.5
90,600365,4.0,51.76,4.0,1170372.6634,-12.06
91,300123,2.74,40.82600000000001,3.02,3104492.4800000004,26.64
92,300519,0.2,25.41,0.8,8213180.283,-43.99
93,600119,3.07,80.15769999999999,3.07,6910248.839900001,-21.18
94,300063,1.38,41.041199999999996,2.91,11540271.532799998,-13.28
95,000517,30.36,146.0316,31.84,4367026.0803,19.96
96,002611,2.93,28.8898,6.42,2989977.2618,62.58
97,603799,2.71,104.5247,5.93,36458789.2816,33.34
98,300289,3.18,43.7568,4.24,2208652.0,-17.3
99,000962,4.41,41.013000000000005,4.41,2548076.7750000004,30.32
100,600557,4.42,78.3666,6.16,8108290.869299999,-1.3
101,600712,5.38,61.87,5.45,2380057.94,-7.04
102,600055,3.46,65.567,3.86,3868419.8375,-11.98
103,600794,10.72,61.318400000000004,12.12,2081256.3199999998,2.8
104,300500,0.17,16.855500000000003,0.61,7863128.427000001,-23.25
105,002762,0.51,15.9222,2.02,2950537.5745999995,66.62
