,code,outstanding,liquid_assets,totals,totalAssets,growth
0,601058,22.61,93.8315,22.94,5256026.377,8.19
1,002340,23.34,153.5772,29.35,11941340.440399999,8.66
2,600496,15.1,65.836,15.1,4321972.08,6.88
3,002421,14.05,83.45700000000001,19.27,2677645.6146000004,7.91
4,600297,18.4,167.25599999999997,55.0,98971938.17999999,7.37
5,600189,3.11,34.7698,3.11,4646553.6754,3.76
6,000826,8.47,285.439,8.54,70598323.775,1.96
7,000534,4.91,69.4765,4.92,3647031.188,5.65
8,300252,2.66,69.825,4.44,6947093.7375,2.97
9,603777,0.6,24.168,2.4,9946060.454,2.51
10,300565,0.4,12.264000000000001,1.6,2676314.7726000003,5.09
11,000573,6.22,53.6786,6.23,2894595.8944,6.84
12,300061,1.45,28.9855,5.25,1804222.2375999999,1.9
13,600459,2.61,55.85399999999999,2.61,7360254.5819999995,13.6
14,002631,2.88,48.528000000000006,6.5,2904617.491,9.67
15,002242,7.65,134.028,7.68,8566364.58,3.08
16,002644,5.11,53.7061,5.11,1832513.7206,6.57
17,601607,19.23,406.1376,26.89,170842077.12,2.65
18,600516,17.19,149.3811,17.19,7208809.5739,5.75
19,000603,3.87,57.005100000000006,7.23,4144890.3138,8.28
20,603888,0.52,36.9044,2.08,13438852.9411,8.36
21,002332,4.68,58.172399999999996,6.11,4373587.606299999,5.95
22,300224,4.85,80.99499999999999,5.06,4946806.698999999,8.38
23,002323,2.61,37.636199999999995,7.46,2587622.4233999997,50.97
24,603600,0.42,19.3788,1.0,4079329.68,2.43
25,300549,0.17,9.435,0.67,3436770.9000000004,12.25
26,300122,8.63,120.56110000000001,16.0,3675441.0616000006,24.77
27,002811,0.45,14.895000000000001,1.8,7821331.4,0.63
28,603160,0.45,39.3075,4.45,18653556.686499998,4.95
29,603421,0.43,14.1427,4.33,6701287.1783,10.4
30,002730,1.03,17.3658,3.23,2239217.4012,4.27
31,300552,0.27,12.3444,1.07,3708595.1736000003,6.08
32,600056,10.12,203.00719999999998,10.68,39272653.16279999,6.18
33,300238,1.89,57.68279999999999,2.66,5242266.274,-1.77
34,300071,4.29,38.9532,6.83,3128493.57,1.98
35,000960,12.09,157.17,14.72,35678279.0,12.62
36,603939,1.56,42.120000000000005,3.63,11087117.19,5.63
37,600337,6.45,81.9795,6.45,6588813.9226,7.16
38,600385,1.43,29.786899999999996,1.48,363921.55489999993,-0.91
39,002773,0.68,33.286,6.75,17758146.593000002,-5.11
40,002169,2.51,47.288399999999996,3.94,7727219.5944,3.82
41,002737,1.2,39.3,2.92,12482766.9725,0.67
42,002582,0.98,29.694,2.58,13039038.693,-1.45
43,002589,3.0,90.99,6.54,46435014.0504,10.09
44,002057,1.99,28.1386,1.99,904972.019,12.38
45,002363,3.86,43.425,3.86,2848158.675,11.82
46,000576,4.34,53.989599999999996,4.43,1685757.4619999998,19.29
47,300409,1.11,33.9549,2.15,5582856.7046,9.84
48,000839,39.19,318.22279999999995,39.2,10610477.079999998,20.44
49,300534,0.22,10.6722,0.87,4349157.2586,3.88
50,300370,3.12,24.5856,5.99,1811393.33,6.73
51,600433,11.9,89.726,12.71,3019184.7452000002,5.44
52,300573,0.2,8.458,0.8,2728519.0825,5.75
53,002728,0.57,13.377899999999999,2.0,3767088.9631999996,6.01
54,600277,20.9,150.48,27.39,16347094.200000001,3.75
55,002378,9.23,82.2393,9.24,2925928.4373000003,18.41
56,002098,3.1,50.74700000000001,3.58,2441947.7681000005,-7.03
57,002750,2.25,32.58,4.0,1039672.2536000002,6.91
58,603701,0.2,9.792000000000002,0.78,3498131.7792,7.03
59,600423,3.99,32.159400000000005,3.99,3394380.8236000002,-4.09
60,600503,15.63,124.8837,16.02,5122963.3212,2.88
61,603029,0.23,8.797500000000001,0.93,3484791.1125,12.94
62,000739,10.6,82.892,11.47,4275642.7116,5.37
63,300366,1.01,30.4515,2.63,5382894.4695,16.09
64,002303,10.21,92.19630000000001,15.42,3034413.2972999997,3.99
65,300125,0.9,23.625,1.18,5014227.4875,3.47
66,000893,4.01,48.6814,7.57,6432888.88,12.93
67,600062,5.72,132.98999999999998,7.24,18786921.3975,-0.43
68,603993,129.54,506.5014,168.87,17512692.545,27.88
69,600850,4.2,99.498,4.2,11702136.0336,4.22
70,600845,4.98,86.50260000000002,7.83,11523062.5875,12.03
71,002574,5.28,55.0176,5.28,5050257.1278,5.85
72,002807,2.09,19.9595,17.67,98606901.5,67.54
73,002617,5.6,83.104,7.35,4897821.4992,5.53
74,000801,10.23,105.6759,10.23,5136264.5225,18.3
75,600749,1.89,41.6934,1.89,3040260.8885999997,-2.31
76,601558,56.62,123.4316,60.31,2486963.3584,3.21
77,600129,4.27,70.54039999999999,4.27,16133988.558799999,9.56
78,002485,3.2,59.455999999999996,3.2,4550426.870999999,5.92
79,600661,1.81,48.0193,2.59,5393889.6452,2.26
80,603007,0.33,13.645500000000002,1.33,6585326.1565000005,3.75
81,300222,2.8,54.292,7.28,9107240.625,6.96
82,300382,0.64,25.0752,1.25,4797495.009000001,8.4
83,600089,32.0,300.48,32.38,72312967.485,12.14
84,000068,8.97,68.6205,10.07,627961.4190000001,3.92
85,600572,20.58,143.6484,25.11,7148327.0974,-0.29
86,600401,47.25,107.25750000000001,47.25,3933853.8175,3.96
87,600110,11.5,122.13,11.5,5750570.062799999,2.82
88,002409,1.65,37.092,3.44,3420758.4456,0.85
89,603309,0.77,17.6176,2.0,2095168.7327999999,7.52
90,300548,0.21,13.677299999999999,0.83,3972014.9234999996,3.67
91,002217,4.67,77.2418,15.64,20369074.175199997,8.83
92,600475,2.56,45.44,2.56,8894133.435,12.11
93,300250,1.13,27.583299999999998,2.3,4291451.0669,4.83
94,603258,0.6,28.776,2.4,4139677.4716000003,11.59
95,600566,7.81,232.81609999999998,8.1,13662000.2079,5.03
96,603519,0.77,22.9075,1.6,2467181.4825,1.71
97,601567,10.15,114.3905,14.19,12439599.247599998,3.55
98,603987,0.53,13.8648,2.1,3624296.3904,10.67
99,002771,0.36,24.933600000000002,0.81,6196785.008400001,-7.22
