,code,outstanding,liquid_assets,totals,totalAssets,growth
0,601058,22.61,99.7101,22.94,5585319.595799999,1.81
1,002340,23.34,174.3498,29.35,13556506.5486,-4.28
2,600496,15.1,66.893,15.1,4391361.54,5.19
3,002421,14.05,104.67250000000001,19.27,3358326.5705000004,-13.96
4,600297,18.4,161.36799999999997,55.0,95487777.53999999,11.29
5,600189,3.11,31.877499999999998,3.11,4260033.5575,13.17
6,000826,8.47,286.03190000000006,8.54,70744967.17750001,1.75
7,000534,4.91,80.524,4.92,4226947.807999999,-8.84
8,300252,2.66,91.53059999999999,4.44,9106647.4479,-21.45
9,300061,1.45,40.4985,5.25,2520856.7832,-27.07
10,600459,2.61,72.9756,2.61,9616482.1548,-13.05
11,000573,6.22,62.44879999999999,6.23,3367525.2351999995,-8.17
12,002631,2.88,63.071999999999996,6.5,3775140.8339999993,-15.62
13,603777,0.6,38.286,2.4,15756159.8205,-35.29
14,002644,5.11,64.64150000000001,5.11,2205642.109,-11.46
15,002242,7.65,153.0765,7.68,9783844.477500001,-9.75
16,601607,19.23,385.5615,26.89,162186725.675,8.13
17,600516,17.19,187.02720000000002,17.19,9025529.132800002,-15.53
18,000603,3.87,75.96809999999999,7.23,5523706.5078,-18.75
19,002332,4.68,63.4608,6.11,4771186.4796,-2.88
20,300224,4.85,102.529,5.06,6262005.6058,-14.38
21,002323,2.61,40.5333,7.46,2786808.3381,40.18
22,603600,0.42,25.599,1.0,5388711.4,-22.46
23,300549,0.17,16.770500000000002,0.67,6108782.870000001,-36.85
24,300122,8.63,161.03580000000002,16.0,4909357.9248,-6.59
25,002811,0.45,22.005,1.8,11554776.6,-31.88
26,603160,0.45,62.64450000000001,4.45,29728238.4239,-34.15
27,603421,0.43,23.4608,4.33,11116516.5232,-33.45
28,002730,1.03,27.7585,3.23,3579294.719,-34.77
29,300552,0.27,21.159900000000004,1.07,6357012.330600001,-38.11
30,600056,10.12,196.42919999999998,10.68,38000109.565799996,9.74
31,300238,1.89,81.4968,2.66,7406504.644,-30.47
32,300071,4.29,50.2359,6.83,4034654.1525000003,-20.92
33,000960,12.09,187.2741,14.72,42512041.67,-5.49
34,603939,1.56,51.79200000000001,3.63,13633047.804,-14.1
35,600337,6.45,87.204,6.45,7008714.731199999,0.74
36,600385,1.43,35.0636,1.48,428389.65559999994,-15.82
37,002773,0.68,38.3996,6.75,20486262.2698,-17.74
38,002169,2.51,49.2462,3.94,8047136.3292,-0.31
39,002737,1.2,45.12,2.92,14331359.944,-12.31
40,002582,0.98,42.3262,2.58,18586009.278899997,-30.86
41,002589,3.0,102.06,6.54,52084377.7776,-1.85
42,002057,1.99,32.0191,1.99,1029773.6765,-1.24
43,002363,3.86,52.6118,3.86,3450702.4658000004,-7.7
44,000576,4.34,59.675,4.43,1863276.9374999998,7.93
45,300409,1.11,47.8521,2.15,7867831.0734,-22.06
46,000839,39.19,415.414,39.2,13851115.4,-7.74
47,300534,0.22,18.535,0.87,7553421.955,-40.19
