,code,outstanding,liquid_assets,totals,totalAssets,growth
0,601058,22.61,138.5993,22.94,7763720.889399999,-26.75
1,002340,23.34,243.66959999999997,29.35,18946442.887199998,-31.51
2,600496,15.1,69.158,15.1,4540053.24,1.75
3,002421,14.05,198.8075,19.27,6378566.573500001,-54.7
4,600297,18.4,236.25599999999997,55.0,139801945.68,-23.99
5,600189,3.11,35.3296,3.11,4721364.0208,2.11
6,000826,8.47,241.22560000000001,8.54,59662915.76,20.65
7,000534,4.91,39.574600000000004,4.92,2077390.2032,85.48
8,300252,2.66,70.224,4.44,6986791.415999999,2.39
9,600459,2.61,38.8368,2.61,5117784.4944,63.37
10,000573,6.22,45.2816,6.23,2441791.2064,26.65
11,002631,2.88,59.93279999999999,6.5,3587245.6965999994,-11.2
12,300061,1.45,14.9495,5.25,930541.8344,97.58
13,002644,5.11,59.83810000000001,5.11,2041744.5926,-4.36
14,002242,7.65,121.176,7.68,7744932.36,14.02
15,601607,19.23,291.3345,26.89,122550069.525,43.1
16,600516,17.19,144.22410000000002,17.19,6959943.880900001,9.54
17,000603,3.87,65.5191,7.23,4763950.6458,-5.79
18,002332,4.68,47.4084,6.11,3564315.5633,30.01
19,300224,4.85,75.175,5.06,4591347.534999999,16.77
20,002323,2.61,63.68399999999999,7.46,4378501.187999999,-10.78
21,603600,0.42,20.5002,1.0,4315389.72,-3.18
22,300122,8.63,205.3077,16.0,6259036.711200001,-26.73
23,600056,10.12,116.07639999999999,10.68,22455500.0886,85.7
24,002730,1.03,35.2157,3.23,4540856.6398,-48.58
25,300238,1.89,62.2188,2.66,5654502.154000001,-8.93
26,300071,4.29,92.10629999999999,6.83,7397440.1925,-56.87
27,000960,12.09,124.527,14.72,28268174.900000002,42.14
28,600337,6.45,78.6255,6.45,6319247.9714,11.73
29,603939,1.56,39.296400000000006,3.63,10343869.7043,13.22
30,600385,1.43,30.601999999999997,1.48,373880.04199999996,-3.55
31,002773,0.68,40.93600000000001,6.75,21839436.668,-22.84
32,002169,2.51,38.403,3.94,6275289.7979999995,27.84
33,002057,1.99,31.9594,1.99,1027853.6509999998,-1.06
34,002582,0.98,16.611,2.58,7294115.7045,76.17
35,002589,3.0,76.26,6.54,38917839.0096,31.35
