,code,name,c_name
0,600122,宏图高科,IPV6概念
1,600198,大唐电信,IPV6概念
2,600410,华胜天成,IPV6概念
3,600485,信威集团,IPV6概念
4,600498,烽火通信,IPV6概念
5,600728,佳都科技,IPV6概念
6,600770,综艺股份,IPV6概念
7,600797,浙大网新,IPV6概念
8,000063,中兴通讯,IPV6概念
9,000532,力合股份,IPV6概念
10,000851,高鸿股份,IPV6概念
11,000890,法 尔 胜,IPV6概念
12,000938,紫光股份,IPV6概念
13,002089,新 海 宜,IPV6概念
14,002095,生 意 宝,IPV6概念
15,002268,卫 士 通,IPV6概念
16,002315,焦点科技,IPV6概念
17,002396,星网锐捷,IPV6概念
18,002439,启明星辰,IPV6概念
19,002544,杰赛科技,IPV6概念
20,300017,网宿科技,IPV6概念
21,300047,天源迪科,IPV6概念
22,300051,三五互联,IPV6概念
23,300113,顺网科技,IPV6概念
24,601567,三星医疗,智能家居
25,000521,美菱电器,智能家居
26,002084,海鸥卫浴,智能家居
27,002121,科陆电子,智能家居
28,002139,拓邦股份,智能家居
29,002402,和而泰,智能家居
30,002468,申通快递,智能家居
31,300028,金亚科技,智能家居
32,300131,英唐智控,智能家居
33,300155,安居宝,智能家居
34,300183,东软载波,智能家居
35,300247,乐金健康,智能家居
36,300279,和晶科技,智能家居
37,300310,宜通世纪,智能家居
38,300312,邦讯技术,智能家居
39,300342,天银机电,智能家居
40,600000,浦发银行,上海本地
41,600009,上海机场,上海本地
42,600018,上港集团,上海本地
43,600019,宝钢股份,上海本地
44,600021,上海电力,上海本地
45,600061,国投安信,上海本地
46,600072,钢构工程,上海本地
47,600073,上海梅林,上海本地
48,600081,东风科技,上海本地
49,600104,上汽集团,上海本地
50,600115,东方航空,上海本地
51,600119,长江投资,上海本地
52,600150,中国船舶,上海本地
53,600151,航天机电,上海本地
54,600170,上海建工,上海本地
55,600171,上海贝岭,上海本地
56,600196,复星医药,上海本地
57,600210,紫江企业,上海本地
58,600278,东方创业,上海本地
59,600315,上海家化,上海本地
60,600320,振华重工,上海本地
61,600490,鹏欣资源,上海本地
62,600508,上海能源,上海本地
63,600517,置信电气,上海本地
64,600530,交大昂立,上海本地
65,600555,海航创新,上海本地
66,600597,光明乳业,上海本地
67,600601,方正科技,上海本地
68,600602,云赛智联,上海本地
69,600603,*ST兴业,上海本地
70,600604,市北高新,上海本地
71,600605,汇通能源,上海本地
72,600606,绿地控股,上海本地
73,600608,上海科技,上海本地
74,600610,中毅达,上海本地
75,600611,大众交通,上海本地
76,600612,老凤祥,上海本地
77,600613,神奇制药,上海本地
78,600614,鹏起科技,上海本地
79,600615,丰华股份,上海本地
80,600616,金枫酒业,上海本地
81,600617,国新能源,上海本地
82,600618,氯碱化工,上海本地
83,600619,海立股份,上海本地
84,600620,天宸股份,上海本地
85,600621,华鑫股份,上海本地
86,600622,嘉宝集团,上海本地
87,600623,华谊集团,上海本地
88,600624,复旦复华,上海本地
89,600626,申达股份,上海本地
90,600628,新世界,上海本地
91,600630,龙头股份,上海本地
92,600633,浙报传媒,上海本地
93,600634,中技控股,上海本地
94,600635,大众公用,上海本地
95,600636,三爱富,上海本地
96,600637,东方明珠,上海本地
97,600638,新黄浦,上海本地
98,600639,浦东金桥,上海本地
99,600640,号百控股,上海本地
100,600641,万业企业,上海本地
101,600642,申能股份,上海本地
102,600643,爱建集团,上海本地
103,600645,中源协和,上海本地
104,600647,同达创业,上海本地
105,600648,外高桥,上海本地
106,600649,城投控股,上海本地
107,600650,锦江投资,上海本地
108,600651,飞乐音响,上海本地
109,600652,游久游戏,上海本地
110,600653,申华控股,上海本地
111,600654,中安消,上海本地
112,600655,豫园商城,上海本地
113,600661,新南洋,上海本地
114,600662,强生控股,上海本地
115,600663,陆家嘴,上海本地
116,600665,天地源,上海本地
117,600675,*ST中企,上海本地
118,600676,交运股份,上海本地
119,600679,上海凤凰,上海本地
120,600680,上海普天,上海本地
121,600688,上海石化,上海本地
122,600689,上海三毛,上海本地
123,600692,亚通股份,上海本地
124,600695,绿庭投资,上海本地
125,600708,光明地产,上海本地
126,600730,中国高科,上海本地
127,600732,*ST新梅,上海本地
128,600741,华域汽车,上海本地
129,600748,上实发展,上海本地
130,600754,锦江股份,上海本地
131,600757,长江传媒,上海本地
132,600781,辅仁药业,上海本地
133,600817,*ST宏盛,上海本地
134,600819,耀皮玻璃,上海本地
135,600820,隧道股份,上海本地
136,600822,上海物贸,上海本地
137,600823,世茂股份,上海本地
138,600824,益民集团,上海本地
139,600825,新华传媒,上海本地
140,600826,兰生股份,上海本地
141,600827,百联股份,上海本地
142,600833,第一医药,上海本地
143,600834,申通地铁,上海本地
144,600835,上海机电,上海本地
145,600836,界龙实业,上海本地
146,600837,海通证券,上海本地
147,600838,上海九百,上海本地
148,600841,上柴股份,上海本地
149,600843,上工申贝,上海本地
150,600844,丹化科技,上海本地
151,600846,同济科技,上海本地
152,600848,上海临港,上海本地
153,600850,华东电脑,上海本地
154,600851,海欣股份,上海本地
155,600895,张江高科,上海本地
156,002028,思源电气,上海本地
157,600031,三一重工,长株潭
158,600127,金健米业,长株潭
159,600156,华升股份,长株潭
160,600257,大湖股份,长株潭
161,600390,*ST金瑞,长株潭
162,600416,湘电股份,长株潭
163,600458,时代新材,长株潭
164,600476,湘邮科技,长株潭
165,600478,科力远,长株潭
166,600479,千金药业,长株潭
167,600599,熊猫金控,长株潭
168,600731,湖南海利,长株潭
169,600744,华银电力,长株潭
170,600961,株冶集团,长株潭
171,600963,岳阳林纸,长株潭
172,600969,郴电国际,长株潭
173,600975,新五丰,长株潭
174,601098,中南传媒,长株潭
175,601636,旗滨集团,长株潭
176,601901,方正证券,长株潭
177,000157,中联重科,长株潭
178,000419,通程控股,长株潭
179,000428,华天酒店,长株潭
180,000430,张家界,长株潭
181,000548,湖南投资,长株潭
182,000590,启迪古汉,长株潭
183,000702,正虹科技,长株潭
184,000722,湖南发展,长株潭
185,000738,中航动控,长株潭
186,000748,长城信息,长株潭
187,000799,酒鬼酒,长株潭
188,000819,岳阳兴长,长株潭
189,000900,现代投资,长株潭
190,000906,浙商中拓,长株潭
191,000908,景峰医药,长株潭
192,000917,电广传媒,长株潭
193,000918,嘉凯城,长株潭
194,000932,华菱钢铁,长株潭
195,000989,九 芝 堂,长株潭
196,000998,隆平高科,长株潭
197,002096,南岭民爆,长株潭
198,002097,山河智能,长株潭
199,002113,天润数娱,长株潭
200,002125,湘潭电化,长株潭
201,002155,湖南黄金,长株潭
202,002251,步 步 高,长株潭
203,002261,拓维信息,长株潭
204,002277,友阿股份,长株潭
205,002297,博云新材,长株潭
206,002397,梦洁股份,长株潭
207,002412,汉森制药,长株潭
208,002452,长高集团,长株潭
209,002505,大康农业,长株潭
210,002523,天桥起重,长株潭
211,002533,金杯电工,长株潭
212,002549,凯美特气,长株潭
213,002567,唐人神,长株潭
214,002650,加加食品,长株潭
215,002661,克明面业,长株潭
216,300015,爱尔眼科,长株潭
217,300035,中科电气,长株潭
218,300123,太阳鸟,长株潭
219,300148,天舟文化,长株潭
220,300187,永清环保,长株潭
221,300216,千山药机,长株潭
222,300267,尔康制药,长株潭
223,300268,万福生科,长株潭
224,300298,三诺生物,长株潭
225,300338,开元仪器,长株潭
226,300345,红宇新材,长株潭
227,600100,同方股份,石墨烯
228,600152,维科精华,石墨烯
229,600175,美都能源,石墨烯
230,600183,生益科技,石墨烯
231,600503,华丽家族,石墨烯
232,600509,天富能源,石墨烯
233,600516,方大炭素,石墨烯
234,600549,厦门钨业,石墨烯
235,600691,阳煤化工,石墨烯
236,600735,新华锦,石墨烯
237,600805,悦达投资,石墨烯
238,601011,宝泰隆,石墨烯
239,601877,正泰电器,石墨烯
240,603618,杭电股份,石墨烯
241,000009,中国宝安,石墨烯
242,000413,东旭光电,石墨烯
243,000510,金路集团,石墨烯
244,000511,*ST烯碳,石墨烯
245,000532,力合股份,石墨烯
246,000565,渝三峡Ａ,石墨烯
247,000928,中钢国际,石墨烯
248,002092,中泰化学,石墨烯
249,002139,拓邦股份,石墨烯
250,002297,博云新材,石墨烯
251,002319,乐通股份,石墨烯
252,002340,格林美,石墨烯
253,002341,新纶科技,石墨烯
254,002389,南洋科技,石墨烯
255,002404,嘉欣丝绸,石墨烯
256,002442,龙星化工,石墨烯
257,002443,金洲管道,石墨烯
258,002450,康得新,石墨烯
259,002471,中超控股,石墨烯
260,002604,龙力生物,石墨烯
261,002630,华西能源,石墨烯
262,002631,德尔未来,石墨烯
263,300035,中科电气,石墨烯
264,300064,豫金刚石,石墨烯
265,300068,南都电源,石墨烯
266,300073,当升科技,石墨烯
267,300108,双龙股份,石墨烯
268,300128,锦富技术,石墨烯
269,300134,大富科技,石墨烯
270,300207,欣旺达,石墨烯
271,300233,金城医药,石墨烯
272,300317,珈伟股份,石墨烯
273,300409,道氏技术,石墨烯
274,600082,海泰发展,天津自贸
275,600225,天津松江,天津自贸
276,600717,天津港,天津自贸
277,600751,天海投资,天津自贸
278,600821,津劝业,天津自贸
279,000695,滨海能源,天津自贸
280,000897,津滨发展,天津自贸
281,000965,天保基建,天津自贸
282,002510,天汽模,天津自贸
283,600069,银鸽投资,准ST股
284,600127,金健米业,准ST股
285,600163,中闽能源,准ST股
286,600186,莲花健康,准ST股
287,600202,哈空调,准ST股
288,600213,亚星客车,准ST股
289,600265,ST景谷,准ST股
290,600273,嘉化能源,准ST股
291,600319,亚星化学,准ST股
292,600346,恒力股份,准ST股
293,600405,动力源,准ST股
294,600408,安泰集团,准ST股
295,600493,凤竹纺织,准ST股
296,600540,新赛股份,准ST股
297,600707,彩虹股份,准ST股
298,600713,南京医药,准ST股
299,600730,中国高科,准ST股
300,600744,华银电力,准ST股
301,600753,东方银星,准ST股
302,600760,*ST黑豹,准ST股
303,600768,宁波富邦,准ST股
304,600980,北矿科技,准ST股
305,601005,重庆钢铁,准ST股
306,601179,中国西电,准ST股
307,601866,中远海发,准ST股
308,601919,中远海控,准ST股
309,000510,金路集团,准ST股
310,000519,中兵红箭,准ST股
311,000520,长航凤凰,准ST股
312,000597,东北制药,准ST股
313,000606,*ST易桥,准ST股
314,000617,中油资本,准ST股
315,000627,天茂集团,准ST股
316,000663,永安林业,准ST股
317,000717,*ST韶钢,准ST股
318,000836,鑫茂科技,准ST股
319,000893,东凌国际,准ST股
320,000897,津滨发展,准ST股
321,000898,鞍钢股份,准ST股
322,000976,春晖股份,准ST股
323,002027,分众传媒,准ST股
324,002039,黔源电力,准ST股
