,code,name,c_name
0,600072,钢构工程,船舶制造
1,600150,中国船舶,船舶制造
2,600685,中船防务,船舶制造
3,601890,亚星锚链,船舶制造
4,601989,中国重工,船舶制造
5,002608,*ST舜船,船舶制造
6,300008,天海防务,船舶制造
7,300123,太阳鸟,船舶制造
8,600039,四川路桥,建筑建材
9,600068,葛洲坝,建筑建材
10,600170,上海建工,建筑建材
11,600248,延长化建,建筑建材
12,600284,浦东建设,建筑建材
13,600321,国栋建设,建筑建材
14,600326,西藏天路,建筑建材
15,600491,龙元建设,建筑建材
16,600502,安徽水利,建筑建材
17,600512,腾达建设,建筑建材
18,600528,中铁二局,建筑建材
19,600545,新疆城建,建筑建材
20,600634,中技控股,建筑建材
21,600681,百川能源,建筑建材
22,600820,隧道股份,建筑建材
23,600853,龙建股份,建筑建材
24,600970,中材国际,建筑建材
25,600986,科达股份,建筑建材
26,601117,中国化学,建筑建材
27,601186,中国铁建,建筑建材
28,601390,中国中铁,建筑建材
29,601618,中国中冶,建筑建材
30,601668,中国建筑,建筑建材
31,601669,中国电建,建筑建材
32,601789,宁波建工,建筑建材
33,601800,中国交建,建筑建材
34,601886,江河集团,建筑建材
35,603017,中衡设计,建筑建材
36,603018,中设集团,建筑建材
37,603030,全筑股份,建筑建材
38,603828,柯利达,建筑建材
39,603969,银龙股份,建筑建材
40,000010,美丽生态,建筑建材
41,000023,深天地Ａ,建筑建材
42,000055,方大集团,建筑建材
43,000065,北方国际,建筑建材
44,000090,天健集团,建筑建材
45,000498,山东路桥,建筑建材
46,000509,华塑控股,建筑建材
47,000619,海螺型材,建筑建材
48,000786,北新建材,建筑建材
49,000928,中钢国际,建筑建材
50,000961,中南建设,建筑建材
51,002043,兔 宝 宝,建筑建材
52,002047,宝鹰股份,建筑建材
53,002051,中工国际,建筑建材
54,002060,粤 水 电,建筑建材
55,002062,宏润建设,建筑建材
56,002066,瑞泰科技,建筑建材
57,002081,金 螳 螂,建筑建材
58,002116,中国海诚,建筑建材
59,002135,东南网架,建筑建材
60,002140,东华科技,建筑建材
61,002163,中航三鑫,建筑建材
62,002178,延华智能,建筑建材
63,002205,国统股份,建筑建材
64,002225,濮耐股份,建筑建材
65,002247,帝龙文化,建筑建材
66,002271,东方雨虹,建筑建材
67,002307,北新路桥,建筑建材
68,002310,东方园林,建筑建材
69,002314,南山控股,建筑建材
70,002325,洪涛股份,建筑建材
71,002372,伟星新材,建筑建材
72,002375,亚厦股份,建筑建材
73,002392,北京利尔,建筑建材
74,002398,建研集团,建筑建材
75,002431,棕榈股份,建筑建材
