,code,name,high,close,highpercent,url
8,600101,明星电力,13.13,12.5600442,-4.341,https://xueqiu.com/S/SH600101
0,603298,杭叉集团,31.2,30.0400464,-3.718,https://xueqiu.com/S/SH603298
6,603311,金海环境,33.18,32.120098399999996,-3.194,https://xueqiu.com/S/SH603311
12,601858,中国科传,19.44,18.9100806,-2.726,https://xueqiu.com/S/SH601858
4,600456,宝钛股份,24.33,23.8999964,-1.767,https://xueqiu.com/S/SH600456
1,002839,张家港行,21.29,21.269907000000003,-0.094,https://xueqiu.com/S/SZ002839
2,603881,数据港,51.66,51.6602264,0.0,https://xueqiu.com/S/SH603881
3,300615,欣天科技,59.04,59.0402202,0.0,https://xueqiu.com/S/SZ300615
5,002783,凯龙股份,89.83,89.830083,0.0,https://xueqiu.com/S/SZ002783
7,603628,清源股份,27.06,27.06,0.0,https://xueqiu.com/S/SH603628
9,603966,法兰泰克,33.54,33.5399147,-0.0,https://xueqiu.com/S/SH603966
10,002798,帝王洁具,64.1,64.0999135,-0.0,https://xueqiu.com/S/SZ002798
11,603696,安记食品,41.98,41.979816,-0.0,https://xueqiu.com/S/SH603696
13,603323,吴江银行,19.49,19.4900508,0.0,https://xueqiu.com/S/SH603323
